              Australian Bureau of Statistics,,,,,,,,,,,
"31010do002_202312 National, state and territory population, Dec 2023",,,,,,,,,,,
Released at 11:30 am (Canberra time) Thu 13 Jun 2024,,,,,,,,,,,
"Table 8 Estimated resident population, by age and sex–at 30 June 2023",,,,,,,,,,,
Age (years),New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia,,
MALES,,,,,,,,,,,
27,"59,088","51,131","38,036","12,462","19,578","3,840","2,469","4,043","190,668",,
28,"60,306","52,311","38,926","12,642","20,251","4,040","2,519","4,184","195,196",,
29,"60,518","52,821","38,638","12,661","20,613","4,131","2,567","4,248","196,221",,
25-29,"295,508","253,788","189,837","61,746","98,346","18,878","11,841","20,743","950,814",,
30,"61,262","53,447","39,075","12,685","20,831","4,150","2,617","4,274","198,371",,
31,"61,907","53,610","39,619","12,692","20,909","4,129","2,519","4,248","199,663",,
32,"62,790","54,786","39,466","12,705","21,781","4,122","2,578","4,144","202,397",,
33,"62,494","54,969","39,243","12,726","21,963","4,016","2,490","4,102","202,025",,
34,"61,612","53,763","38,621","12,555","22,196","3,848","2,330","3,955","198,911",,
30-34,"310,065","270,575","196,024","63,363","107,680","20,265","12,534","20,723","1,001,367",,
35,"61,041","53,508","38,295","12,708","22,050","3,813","2,307","3,836","197,587",,
36,"60,497","52,622","38,275","12,690","22,232","3,674","2,192","3,830","196,039",,
37,"59,966","52,640","38,789","12,854","22,157","3,713","2,164","3,807","196,118",,
38,"59,735","52,288","38,819","12,662","21,877","3,756","2,191","3,862","195,220",,
39,"59,556","50,703","38,563","12,615","21,608","3,676","2,036","3,792","192,590",,
35-39,"300,795","261,761","192,741","63,529","109,924","18,632","10,890","19,127","977,554",,
40,"59,200","50,353","39,014","12,400","21,259","3,476","1,956","3,600","191,292",,
41,"57,293","48,749","37,306","12,098","20,531","3,541","1,877","3,681","185,113",,
42,"56,064","46,966","36,940","11,784","20,134","3,503","1,813","3,503","180,734",,
43,"53,508","44,656","35,605","11,245","19,151","3,292","1,755","3,364","172,603",,
44,"52,701","43,468","34,947","11,001","18,795","3,323","1,688","3,143","169,104",,
40-44,"278,766","234,192","183,812","58,528","99,870","17,135","9,089","17,291","898,846",,
45,"51,217","42,141","34,197","10,847","17,906","3,267","1,647","2,919","164,172",,
46,"50,541","41,532","34,226","10,903","17,714","3,160","1,505","2,977","162,580",,
47,"50,284","41,062","34,181","10,650","17,672","3,266","1,551","2,824","161,514",,
48,"50,434","41,911","34,540","10,803","17,866","3,306","1,494","2,903","163,280",,
49,"51,633","42,527","35,151","11,059","17,706","3,379","1,535","2,838","165,859",,
45-49,"254,109","209,173","172,295","54,262","88,864","16,378","7,732","14,461","817,405",,
50,"52,886","42,782","36,386","11,465","18,076","3,617","1,533","2,953","169,729",,
51,"54,791","44,870","37,386","12,108","18,957","3,793","1,553","2,925","176,418",,
52,"54,832","45,568","37,686","12,313","19,285","3,976","1,622","2,924","178,241",,
53,"50,516","42,435","35,090","11,833","17,898","3,737","1,581","2,742","165,868",,
54,"50,149","42,120","34,147","11,667","17,843","3,762","1,495","2,600","163,822",,
50-54,"263,174","217,775","180,695","59,386","92,059","18,885","7,784","14,144","854,078",,
55,"48,068","39,965","32,764","11,401","17,060","3,645","1,447","2,438","156,822",,
56,"46,974","38,720","32,271","11,207","16,622","3,664","1,383","2,348","153,218",,
57,"46,804","38,670","31,812","11,366","16,606","3,550","1,348","2,432","152,626",,
58,"48,040","38,745","32,184","11,562","16,694","3,693","1,260","2,296","154,505",,
59,"49,763","39,459","33,270","11,786","16,898","3,979","1,258","2,338","158,789",,
55-59,"239,649","195,559","162,301","57,322","83,880","18,531","6,696","11,852","775,960",,
60,"50,817","39,705","33,546","12,008","16,831","3,976","1,275","2,270","160,464",,
61,"50,258","39,190","33,232","12,029","16,637","4,149","1,222","2,331","159,093",,
62,"49,806","38,804","32,840","12,143","16,488","4,198","1,247","2,257","157,824",,
63,"48,133","37,772","31,339","11,835","16,009","4,048","1,122","2,166","152,462",,
64,"47,000","36,962","30,762","11,720","15,650","3,921","1,051","2,105","149,211",,
60-64,"246,014","192,433","161,719","59,735","81,615","20,292","5,917","11,129","779,054",,
65,"46,627","36,069","30,064","11,158","15,062","3,813",988,"2,087","145,907",,
66,"45,049","35,106","28,861","11,195","14,666","3,863",969,"2,034","141,782",,
67,"43,537","34,262","28,251","10,956","14,592","3,643",856,"1,965","138,097",,
68,"42,692","33,382","27,498","10,486","14,076","3,597",823,"1,848","134,441",,
69,"41,044","32,215","26,664","10,397","13,429","3,588",784,"1,824","129,967",,
65-69,"218,949","171,034","141,338","54,192","71,825","18,504","4,420","9,758","690,194",,
70,"40,377","31,522","26,083","10,271","13,165","3,416",733,"1,872","127,472",,
71,"38,784","30,440","25,338","9,959","12,691","3,348",653,"1,859","123,100",,
72,"38,072","29,959","24,846","9,977","12,242","3,285",638,"1,829","120,870",,
73,"37,090","29,189","24,471","9,650","11,862","3,204",590,"1,775","117,863",,
74,"35,635","27,906","23,463","9,379","11,568","3,051",523,"1,703","113,255",,
70-74,"189,958","149,016","124,201","49,236","61,528","16,304","3,137","9,038","602,560",,
75,"35,409","27,936","22,819","9,201","11,197","3,024",517,"1,715","111,833",,
76,"35,498","28,104","23,285","9,508","11,318","3,079",501,"1,748","113,052",,
77,"29,586","22,994","19,033","7,752","8,833","2,505",372,"1,393","92,487",,
78,"27,998","21,494","18,220","7,291","8,311","2,320",300,"1,251","87,208",,
79,"26,071","20,148","16,404","6,571","7,855","2,187",296,"1,189","80,734",,
75-79,"154,562","120,676","99,761","40,323","47,514","13,115","1,986","7,296","485,314",,
80,"23,075","17,941","14,359","6,049","6,928","1,853",243,"1,033","71,497",,
81,"21,765","17,283","13,646","5,616","6,767","1,788",247,"1,003","68,127",,
82,"20,310","15,522","12,059","5,138","6,110","1,635",248,910,"61,943",,
83,"18,876","14,991","11,331","4,857","5,730","1,498",203,837,"58,331",,
84,"17,655","13,975","10,334","4,670","5,438","1,390",162,755,"54,394",,
80-84,"101,681","79,712","61,729","26,330","30,973","8,164","1,103","4,538","314,292",,
85-89,"65,931","51,725","36,565","16,891","19,530","5,001",509,"2,817","198,994",,
90-94,"33,929","26,572","17,973","8,779","9,718","2,466",210,"1,256","100,916",,
95-99,"10,993","8,595","5,835","3,040","2,936",670,65,413,"32,547",,
100 and over,"1,645","1,116",832,495,480,98,7,42,"4,715",,
All ages,"4,194,360","3,446,509","2,756,513","936,726","1,436,893","289,229","124,810","236,151","13,423,536",,
PERSONS,,,,,,,,,,,
0,"94,401","76,487","60,528","18,919","31,347","5,470","3,439","5,227","295,859",,
1,"99,843","78,452","63,783","19,616","34,039","5,779","3,431","5,451","310,421",,
2,"95,103","77,908","60,654","19,885","34,348","5,865","3,435","5,183","302,429",,
3,"94,477","76,635","61,284","19,434","34,206","5,836","3,285","5,210","300,411",,
4,"96,284","78,639","62,971","19,845","35,277","5,947","3,414","5,352","307,780",,
0-4,"480,108","388,121","309,220","97,699","169,217","28,897","17,004","26,423","1,516,900",,
5,"96,505","79,557","63,898","20,230","35,922","5,993","3,372","5,300","310,831",,
6,"98,888","81,037","65,305","20,586","36,736","6,177","3,496","5,701","317,980",,
